date,airline,flight_number,origin,destination,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-03-02,Turkish Airlines,TU4814,Tehran,Istanbul,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4871,6994,2123,8082.86,2.2
2026-03-02,Qatar Airways,QA4657,Islamabad,Riyadh,Direct Tehran overfly,Via Ashgabat–Almaty route,11865,13544,1679,9059.45,1.6
2026-03-02,Ethiopian Airlines,ET5713,Paris,Doha,Direct Gulf route,Via Jordan–Egypt alternate,8497,8972,475,2644.67,0.6
2026-03-02,Iran Air,IR4602,Los Angeles,Doha,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3615,4813,1198,5929.3,4.6
2026-03-02,IndiGo,IN1283,Paris,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,2232,3051,819,3931.68,2.2
2026-03-02,DHL Aviation,DH5120,Cairo,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,6498,9213,2715,17783.64,3.8
2026-03-02,Emirates SkyCargo,EM7247,London,Muscat,Via Strait of Hormuz,Via Red Sea–Suez route,3840,5179,1339,6782.83,2.1
2026-03-02,Jazeera Airways,JA3842,Karachi,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,11593,12429,836,2938.21,2.2
2026-03-02,Jazeera Airways,JA3684,Doha,New York,Via Baghdad FIR,Via Ankara–Baku corridor,6013,6706,693,3841.93,4.2
2026-03-02,Iran Air,IR5723,Paris,Doha,Direct Middle East overfly,Via Central Asian detour,10893,13257,2364,8336.82,2.4
2026-03-02,Iran Air,IR8018,Dubai,Bahrain,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4333,5518,1185,5127.22,2.5
2026-03-02,FedEx Express,FE9659,London,Dubai,Direct Middle East overfly,Via Central Asian detour,9911,11150,1239,7379.55,4.7
2026-03-02,Cathay Pacific,CA1508,Karachi,Istanbul,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7254,8343,1089,4942.81,1.5
2026-03-02,Pakistan International Airlines,PA107,Frankfurt,Dubai,Via Persian Gulf,Via Indian Ocean southern route,4518,7561,3043,16707.55,4.5
2026-03-02,Kuwait Airways,KU414,Delhi,Istanbul,Via Persian Gulf,Via Indian Ocean southern route,5732,7649,1917,7415.34,3.9
2026-03-03,DHL Aviation,DH2848,Moscow,Tehran,Via Baghdad FIR,Via Ankara–Baku corridor,11653,12230,577,3169.46,4.3
2026-03-03,British Airways,BR4677,Sydney,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,10109,11068,959,5450.54,1.9
2026-03-03,British Airways,BR2036,Dubai,Karachi,Direct Gulf route,Via Jordan–Egypt alternate,3528,4634,1106,5400.46,1.2
2026-03-03,Air Arabia,AI4157,Doha,London,Direct Tehran overfly,Via Ashgabat–Almaty route,10582,11884,1302,6973.98,3.4
2026-03-03,Singapore Airlines,SI4009,Paris,Beirut,Via Strait of Hormuz,Via Red Sea–Suez route,9309,10754,1445,7662.14,2.9
2026-03-03,United Airlines,UN973,Paris,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,7291,8604,1313,8709.39,1.0
2026-03-03,FedEx Express,FE6579,Tehran,Istanbul,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6637,7854,1217,4971.69,2.9
2026-03-03,Malaysia Airlines,MA2572,New York,Dubai,Direct Middle East overfly,Via Central Asian detour,6378,8397,2019,10176.36,4.7
2026-03-03,DHL Aviation,DH3026,Dubai,Cairo,Direct Middle East overfly,Via Central Asian detour,5756,6749,993,4308.54,1.3
2026-03-03,Malaysia Airlines,MA9138,Bahrain,London,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7673,8835,1162,6943.09,2.6
2026-03-03,Air India,AI109,Kuwait City,Cairo,Direct Gulf route,Via Jordan–Egypt alternate,6821,7541,720,4316.71,3.7
2026-03-03,Saudi Arabian Airlines,SA7549,London,Bahrain,Direct Middle East overfly,Via Central Asian detour,2375,3777,1402,6084.61,4.4
2026-03-03,Turkish Airlines,TU1678,Beirut,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,11839,12930,1091,5125.34,2.9
2026-03-03,IndiGo,IN3206,Riyadh,Islamabad,Direct Tehran overfly,Via Ashgabat–Almaty route,4657,5906,1249,7914.16,3.7
2026-03-03,British Airways,BR7030,Frankfurt,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4606,7212,2606,17810.23,4.4
2026-03-03,Emirates SkyCargo,EM4558,Paris,Dubai,Via Persian Gulf,Via Indian Ocean southern route,5939,8007,2068,8401.63,3.5
2026-03-03,flydubai,FL5424,Doha,London,Via Strait of Hormuz,Via Red Sea–Suez route,10549,11441,892,4460.8,1.1
2026-03-03,Air France,AI8035,Singapore,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8837,10605,1768,6758.07,4.0
2026-03-03,Gulf Air,GU8888,Muscat,London,Direct Gulf route,Via Jordan–Egypt alternate,5039,5559,520,2233.78,2.7
2026-03-03,Emirates SkyCargo,EM9570,Islamabad,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4162,6125,1963,9853.65,1.2
2026-03-03,Air France,AI9251,Bahrain,London,Via Persian Gulf,Via Indian Ocean southern route,9893,12414,2521,12634.7,3.1
2026-03-03,Pakistan International Airlines,PA1247,Dubai,Delhi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9018,10631,1613,10146.11,1.6
2026-03-03,Singapore Airlines,SI6327,Beijing,Tehran,Direct Middle East overfly,Via Central Asian detour,5361,6804,1443,7996.65,4.7
2026-03-03,United Airlines,UN5759,Doha,Paris,Via Strait of Hormuz,Via Red Sea–Suez route,10308,11703,1395,7723.33,4.8
2026-03-03,Etihad Airways,ET2825,Dubai,Islamabad,Via Persian Gulf,Via Indian Ocean southern route,5043,6319,1276,6005.26,4.9
2026-03-03,Air France,AI7323,Abu Dhabi,Washington,Direct Middle East overfly,Via Central Asian detour,8573,10850,2277,15757.29,2.9
2026-03-03,Air Arabia,AI9701,Dubai,New York,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11157,12029,872,5999.48,1.4
2026-03-03,Gulf Air,GU5365,Los Angeles,Doha,Direct Tehran overfly,Via Ashgabat–Almaty route,4621,6245,1624,10848.29,1.2
2026-03-03,Malaysia Airlines,MA8638,Riyadh,Islamabad,Via Baghdad FIR,Via Ankara–Baku corridor,10051,11229,1178,4565.89,1.8
2026-03-04,Cathay Pacific,CA2285,Dubai,Frankfurt,Direct Tehran overfly,Via Ashgabat–Almaty route,5786,7384,1598,11082.02,1.7
2026-03-04,American Airlines,AM819,Doha,Paris,Direct Middle East overfly,Via Central Asian detour,5185,6107,922,6389.43,2.1
2026-03-04,Mahan Air,MA1151,Dubai,Istanbul,Direct Middle East overfly,Via Central Asian detour,6757,8109,1352,5888.42,1.7
2026-03-04,Kuwait Airways,KU4606,Islamabad,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,8969,9705,736,4729.56,3.4
2026-03-04,Oman Air,OM2534,Los Angeles,Doha,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9094,10472,1378,8646.95,2.9
2026-03-04,American Airlines,AM7586,London,Bahrain,Direct Gulf route,Via Jordan–Egypt alternate,7981,9033,1052,3929.89,1.9
2026-03-04,Emirates SkyCargo,EM8388,Sydney,Abu Dhabi,Via Persian Gulf,Via Indian Ocean southern route,3990,5776,1786,9135.25,0.8
2026-03-04,Emirates,EM4026,Dubai,Mumbai,Direct Middle East overfly,Via Central Asian detour,8197,9733,1536,5991.97,0.5
2026-03-04,Singapore Airlines,SI6922,Mumbai,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,6926,8178,1252,6714.54,0.7
2026-03-04,Singapore Airlines,SI2475,Bahrain,London,Via Baghdad FIR,Via Ankara–Baku corridor,6986,8397,1411,5780.8,1.0
2026-03-04,Qatar Airways,QA9427,Tehran,Istanbul,Direct Tehran overfly,Via Ashgabat–Almaty route,2925,4309,1384,8972.97,3.2
2026-03-04,Jazeera Airways,JA3885,Paris,Doha,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9925,12620,2695,11090.29,1.9
2026-03-04,Malaysia Airlines,MA6043,Mumbai,Doha,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6236,7684,1448,6518.04,4.8
2026-03-04,Singapore Airlines,SI3194,Abu Dhabi,Sydney,Direct Middle East overfly,Via Central Asian detour,11885,13299,1414,5976.55,3.3
2026-03-04,Thai Airways,TH7106,Istanbul,Delhi,Via Strait of Hormuz,Via Red Sea–Suez route,5183,6426,1243,6303.71,3.3
2026-03-04,Thai Airways,TH701,Delhi,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11304,12992,1688,6450.88,3.5
2026-03-04,United Airlines,UN7372,Dubai,New York,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4325,5459,1134,4441.52,0.8
2026-03-05,Air Arabia,AI6473,Islamabad,Riyadh,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10764,12374,1610,10342.62,2.1
2026-03-05,Gulf Air,GU574,Singapore,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,9189,10996,1807,11440.74,0.9
2026-03-05,Ethiopian Airlines,ET3822,Dubai,Islamabad,Via Baghdad FIR,Via Ankara–Baku corridor,7962,9287,1325,5162.61,4.4
2026-03-05,Gulf Air,GU3787,Abu Dhabi,Sydney,Via Persian Gulf,Via Indian Ocean southern route,2496,4721,2225,13814.72,3.0
2026-03-05,DHL Aviation,DH8778,Paris,Doha,Direct Gulf route,Via Jordan–Egypt alternate,8856,9828,972,6032.91,4.3
2026-03-05,Air Arabia,AI7730,Mumbai,Kuwait City,Direct Tehran overfly,Via Ashgabat–Almaty route,7788,9138,1350,8248.12,4.0
2026-03-05,Air Arabia,AI4331,New York,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10943,13121,2178,10526.1,1.9
2026-03-05,Malaysia Airlines,MA4914,Frankfurt,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5971,7173,1202,5776.1,4.2
2026-03-05,Cargolux,CA6611,Istanbul,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,8332,8979,647,2791.04,2.5
2026-03-05,Etihad Airways,ET2031,Cairo,Kuwait City,Via Baghdad FIR,Via Ankara–Baku corridor,6901,8180,1279,5792.92,2.4
2026-03-05,Air France,AI6147,Cairo,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,4350,5728,1378,6762.37,3.3
2026-03-05,Cargolux,CA7277,Paris,Doha,Via Baghdad FIR,Via Ankara–Baku corridor,10186,11487,1301,4578.98,3.1
2026-03-05,Kuwait Airways,KU1141,Doha,Los Angeles,Direct Tehran overfly,Via Ashgabat–Almaty route,2952,4200,1248,4563.44,4.9
2026-03-05,Gulf Air,GU5188,Istanbul,Tehran,Direct Gulf route,Via Jordan–Egypt alternate,8947,9368,421,1844.18,4.6
2026-03-05,Air India,AI8816,Frankfurt,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,6555,7349,794,4727.39,3.0
2026-03-05,Cathay Pacific,CA7892,Muscat,London,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3221,4934,1713,6022.99,2.6
2026-03-05,Saudi Arabian Airlines,SA6488,Los Angeles,Doha,Direct Middle East overfly,Via Central Asian detour,9115,11549,2434,12242.05,2.1
2026-03-05,flydubai,FL6513,Mumbai,Dubai,Direct Middle East overfly,Via Central Asian detour,2894,4466,1572,7421.9,1.7
2026-03-05,Malaysia Airlines,MA1544,Islamabad,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,11883,15301,3418,16862.94,2.1
2026-03-05,EgyptAir,EG7394,Lahore,Doha,Direct Middle East overfly,Via Central Asian detour,4050,5941,1891,8660.0,3.5
2026-03-05,Cargolux,CA5333,London,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,8054,9396,1342,5761.02,2.3
2026-03-05,Turkish Airlines,TU8928,Dubai,Bahrain,Direct Middle East overfly,Via Central Asian detour,8859,10204,1345,8794.24,3.2
2026-03-05,Iran Air,IR1539,Singapore,Dubai,Via Persian Gulf,Via Indian Ocean southern route,7174,9795,2621,12819.01,2.7
2026-03-05,Air France,AI3899,Lahore,Doha,Direct Gulf route,Via Jordan–Egypt alternate,4683,5686,1003,3723.95,3.0
2026-03-05,Mahan Air,MA6216,Kuwait City,Mumbai,Via Baghdad FIR,Via Ankara–Baku corridor,11934,13262,1328,6855.54,1.5
2026-03-05,DHL Aviation,DH6232,Istanbul,Delhi,Via Baghdad FIR,Via Ankara–Baku corridor,9406,9989,583,2867.5,1.2
2026-03-05,Air India,AI8031,Mumbai,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9572,11738,2166,7785.9,1.7
2026-03-05,Air France,AI2712,Doha,New York,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6081,7160,1079,5655.66,2.9
2026-03-05,Cargolux,CA7360,Sydney,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,11510,12538,1028,3844.36,3.0
2026-03-05,FedEx Express,FE4932,Karachi,Istanbul,Via Baghdad FIR,Via Ankara–Baku corridor,3198,4374,1176,6575.49,1.3
2026-03-05,Emirates,EM8651,Tehran,Beijing,Direct Gulf route,Via Jordan–Egypt alternate,11229,11714,485,2168.63,5.0
2026-03-05,DHL Aviation,DH3275,Paris,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,11345,12534,1189,7224.01,4.2
2026-03-06,United Airlines,UN8464,Istanbul,Karachi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7533,9901,2368,9653.37,1.8
2026-03-06,Kuwait Airways,KU855,Doha,Paris,Via Strait of Hormuz,Via Red Sea–Suez route,6053,7454,1401,9176.58,2.1
2026-03-06,FedEx Express,FE892,Dubai,Karachi,Via Persian Gulf,Via Indian Ocean southern route,11368,13336,1968,7571.73,3.1
2026-03-06,Oman Air,OM516,Dubai,New York,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11401,13082,1681,11193.28,2.6
2026-03-06,Cargolux,CA7608,London,Dubai,Direct Middle East overfly,Via Central Asian detour,10407,12106,1699,6893.1,4.0
2026-03-06,Air Arabia,AI4463,London,Abu Dhabi,Via Baghdad FIR,Via Ankara–Baku corridor,5669,6831,1162,5924.5,4.3
2026-03-06,Malaysia Airlines,MA3645,Kuwait City,Mumbai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4662,5741,1079,3777.98,2.7
2026-03-06,British Airways,BR2464,London,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,7902,9033,1131,7816.04,3.9
2026-03-06,Singapore Airlines,SI3816,Mumbai,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,11996,12968,972,5148.82,2.7
2026-03-06,Air India,AI2101,Karachi,Istanbul,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3084,4241,1157,7570.99,1.0
2026-03-06,FedEx Express,FE4248,Singapore,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10573,11988,1415,9416.0,2.8
2026-03-06,Jazeera Airways,JA1845,Dubai,New York,Direct Tehran overfly,Via Ashgabat–Almaty route,6724,8127,1403,8165.54,1.3
2026-03-06,Thai Airways,TH4074,Dubai,Bahrain,Direct Gulf route,Via Jordan–Egypt alternate,5863,6371,508,3412.49,1.8
2026-03-06,Iran Air,IR2523,Beirut,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,8029,8938,909,3384.37,2.3
2026-03-06,Cathay Pacific,CA3306,Sydney,Dubai,Via Persian Gulf,Via Indian Ocean southern route,9570,11647,2077,11215.07,3.4
2026-03-06,Emirates SkyCargo,EM5450,Dubai,Frankfurt,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9317,11715,2398,9278.96,1.1
2026-03-06,Singapore Airlines,SI9315,New York,Doha,Direct Tehran overfly,Via Ashgabat–Almaty route,4180,5928,1748,11636.85,5.0
2026-03-06,flydubai,FL4454,Abu Dhabi,London,Via Strait of Hormuz,Via Red Sea–Suez route,2784,3544,760,2711.81,4.5
2026-03-06,KLM,KL3077,Lahore,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,6981,8560,1579,9709.5,4.2
2026-03-06,Delta Air Lines,DE2708,Mumbai,Doha,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,2465,3698,1233,7728.72,0.9
2026-03-06,Kuwait Airways,KU3968,Cairo,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,7849,9304,1455,7243.42,3.9
2026-03-06,DHL Aviation,DH1873,Paris,Beirut,Direct Gulf route,Via Jordan–Egypt alternate,8117,8527,410,1593.4,3.9
2026-03-06,Air France,AI482,Riyadh,Cairo,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10843,13261,2418,10504.42,4.1
2026-03-06,Delta Air Lines,DE4016,Tehran,Moscow,Via Strait of Hormuz,Via Red Sea–Suez route,8728,9357,629,2481.06,3.7
2026-03-06,Air Arabia,AI6459,London,Dubai,Direct Middle East overfly,Via Central Asian detour,8125,10076,1951,12022.79,4.4
2026-03-06,Pakistan International Airlines,PA4776,Moscow,Tehran,Via Persian Gulf,Via Indian Ocean southern route,11797,13080,1283,6593.38,3.2
2026-03-06,Delta Air Lines,DE8070,Los Angeles,Doha,Via Baghdad FIR,Via Ankara–Baku corridor,2310,3021,711,3863.58,2.9
2026-03-06,Kuwait Airways,KU7073,Dubai,Cairo,Direct Gulf route,Via Jordan–Egypt alternate,6315,7392,1077,5932.21,2.2
2026-03-06,flydubai,FL9042,Paris,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6738,7774,1036,3740.12,1.0
2026-03-07,DHL Aviation,DH638,Bahrain,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9642,11130,1488,6071.77,3.9
2026-03-07,EgyptAir,EG6060,Abu Dhabi,Washington,Via Persian Gulf,Via Indian Ocean southern route,11756,14457,2701,15487.62,2.6
2026-03-07,flydubai,FL3145,London,Singapore,Via Strait of Hormuz,Via Red Sea–Suez route,4402,5061,659,3082.22,1.1
2026-03-07,Etihad Airways,ET3953,Abu Dhabi,London,Direct Tehran overfly,Via Ashgabat–Almaty route,9579,10649,1070,3786.88,0.9
2026-03-07,Malaysia Airlines,MA7554,London,Riyadh,Direct Middle East overfly,Via Central Asian detour,8720,9888,1168,5890.28,4.2
2026-03-07,Malaysia Airlines,MA6462,Islamabad,Riyadh,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7652,10438,2786,16062.1,1.9
2026-03-07,Jazeera Airways,JA8208,Doha,Los Angeles,Direct Gulf route,Via Jordan–Egypt alternate,10953,12058,1105,4309.69,0.6
2026-03-07,Jazeera Airways,JA3878,Dubai,Mumbai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11679,14443,2764,18945.98,2.5
2026-03-07,Ethiopian Airlines,ET595,Doha,Mumbai,Direct Gulf route,Via Jordan–Egypt alternate,8513,9338,825,4803.1,4.2
2026-03-07,Mahan Air,MA3056,Riyadh,Cairo,Via Strait of Hormuz,Via Red Sea–Suez route,11801,13083,1282,5904.26,5.0
2026-03-07,Cathay Pacific,CA5873,Kuwait City,Cairo,Via Baghdad FIR,Via Ankara–Baku corridor,5512,6603,1091,5045.75,3.4
2026-03-07,Etihad Airways,ET7416,Dubai,Karachi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3014,4699,1685,6927.08,2.1
2026-03-07,Air Arabia,AI8625,New York,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7633,8935,1302,8494.08,5.0
2026-03-07,Cathay Pacific,CA4039,Istanbul,Tehran,Direct Tehran overfly,Via Ashgabat–Almaty route,2094,3800,1706,8330.41,3.5
2026-03-07,Air France,AI744,Abu Dhabi,Sydney,Direct Middle East overfly,Via Central Asian detour,10676,11721,1045,6648.34,3.8
2026-03-07,British Airways,BR516,Dubai,Amman,Via Strait of Hormuz,Via Red Sea–Suez route,3876,4509,633,2513.09,1.5
2026-03-07,Kuwait Airways,KU5143,Washington,Abu Dhabi,Direct Tehran overfly,Via Ashgabat–Almaty route,8113,9807,1694,6021.99,2.2
