date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason
2026-02-28,Cargolux,CA5075,Dubai,New York,UAE,USA,Airbus A330-300,246,Security risk — conflict zone
2026-02-28,Air India,AI4752,Dubai,Frankfurt,UAE,Germany,Airbus A340-600,447,Security risk — conflict zone
2026-02-28,FedEx Express,FE6060,Dubai,Istanbul,UAE,Turkey,Airbus A380-800,233,Fuel supply disruption
2026-02-28,British Airways,BR4486,Singapore,Dubai,Singapore,UAE,Airbus A330-300,335,Security risk — conflict zone
2026-02-28,Kuwait Airways,KU823,Dubai,London,UAE,UK,Airbus A380-800,182,Insurance restriction — war zone
2026-02-28,Jazeera Airways,JA9057,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,215,Insurance restriction — war zone
2026-02-28,Pakistan International Airlines,PA9174,Cairo,Kuwait City,Egypt,Kuwait,Boeing 787-9 Dreamliner,306,Insurance restriction — war zone
2026-02-28,Cathay Pacific,CA3623,Paris,Doha,France,Qatar,Boeing 737 MAX 8,132,Government travel ban
2026-02-28,DHL Aviation,DH2599,London,Bahrain,UK,Bahrain,Boeing 737 MAX 8,411,Airspace closure — NOTAM
2026-02-28,Cathay Pacific,CA9123,Tehran,Moscow,Iran,Russia,Airbus A321neo,245,Diplomatic advisory — do not fly
2026-02-28,Gulf Air,GU4868,Istanbul,Delhi,Turkey,India,Boeing 777-300ER,267,Airspace closure — NOTAM
2026-02-28,Jazeera Airways,JA4576,Doha,New York,Qatar,USA,Boeing 787-9 Dreamliner,84,Crew safety — company policy
2026-02-28,Emirates,EM8108,Beijing,Tehran,China,Iran,Boeing 737-800,231,Airport closure — military activity
2026-02-28,Qatar Airways,QA6946,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 737-800,241,Insurance restriction — war zone
2026-02-28,Cathay Pacific,CA1538,Karachi,Dubai,Pakistan,UAE,Boeing 737 MAX 8,340,Government travel ban
2026-02-28,Air India,AI6740,London,Doha,UK,Qatar,Boeing 787-9 Dreamliner,221,Insurance restriction — war zone
2026-03-01,Turkish Airlines,TU9732,New York,Dubai,USA,UAE,Airbus A321neo,415,Insurance restriction — war zone
2026-03-01,Iran Air,IR5660,New York,Doha,USA,Qatar,Airbus A330-300,353,Fuel supply disruption
2026-03-01,Singapore Airlines,SI1986,Lahore,Doha,Pakistan,Qatar,Airbus A380-800,184,Diplomatic advisory — do not fly
2026-03-01,Gulf Air,GU784,London,Abu Dhabi,UK,UAE,Boeing 777-300ER,303,Government travel ban
2026-03-01,Thai Airways,TH5651,Doha,Mumbai,Qatar,India,Boeing 777-200LR,343,Security risk — conflict zone
2026-03-01,FedEx Express,FE3160,Beirut,Paris,Lebanon,France,Boeing 787-9 Dreamliner,411,Security risk — conflict zone
2026-03-01,Jazeera Airways,JA1145,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A320neo,318,Airport closure — military activity
2026-03-01,Iran Air,IR2394,Istanbul,Delhi,Turkey,India,Boeing 737 MAX 8,404,Government travel ban
2026-03-01,Kuwait Airways,KU6114,Mumbai,Kuwait City,India,Kuwait,Airbus A321neo,356,Fuel supply disruption
2026-03-01,Iran Air,IR5130,Bahrain,London,Bahrain,UK,Airbus A330-300,203,Government travel ban
2026-03-01,Qatar Airways,QA1993,Paris,Beirut,France,Lebanon,Boeing 777-200LR,205,Airport closure — military activity
2026-03-01,Gulf Air,GU4119,London,Dubai,UK,UAE,Boeing 737 MAX 8,203,Airspace closure — NOTAM
2026-03-01,Emirates SkyCargo,EM4562,Beirut,Paris,Lebanon,France,Airbus A321neo,448,Diplomatic advisory — do not fly
2026-03-01,Qatar Airways,QA9076,Delhi,Dubai,India,UAE,Airbus A350-900,156,Government travel ban
2026-03-01,Turkish Airlines,TU695,Abu Dhabi,Washington,UAE,USA,Airbus A350-900,441,Security risk — conflict zone
2026-03-01,Emirates SkyCargo,EM3330,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A321neo,329,Airport closure — military activity
2026-03-01,EgyptAir,EG5273,Dubai,Frankfurt,UAE,Germany,Boeing 777-300ER,142,Fuel supply disruption
2026-03-01,Singapore Airlines,SI7702,Kuwait City,Mumbai,Kuwait,India,Boeing 787-9 Dreamliner,204,Airspace closure — NOTAM
2026-03-01,Qatar Airways,QA8136,Bahrain,Dubai,Bahrain,UAE,Boeing 787-9 Dreamliner,317,Airport closure — military activity
2026-03-01,Lufthansa,LU8951,Paris,Beirut,France,Lebanon,Boeing 777-300ER,95,Government travel ban
2026-03-01,Etihad Airways,ET4696,Dubai,Frankfurt,UAE,Germany,Boeing 777-200LR,246,Diplomatic advisory — do not fly
2026-03-01,Emirates SkyCargo,EM1160,Paris,Dubai,France,UAE,Airbus A350-900,294,Insurance restriction — war zone
2026-03-01,Kuwait Airways,KU9397,Istanbul,Delhi,Turkey,India,Boeing 737 MAX 8,203,Government travel ban
2026-03-01,DHL Aviation,DH1813,Dubai,Karachi,UAE,Pakistan,Boeing 777-300ER,86,Government travel ban
2026-03-01,British Airways,BR2894,Istanbul,Dubai,Turkey,UAE,Airbus A330-300,80,Crew safety — company policy
2026-03-01,Emirates SkyCargo,EM3364,Dubai,Frankfurt,UAE,Germany,Boeing 777-200LR,404,Airport closure — military activity
2026-03-01,Air France,AI4242,Beirut,Paris,Lebanon,France,Boeing 777-300ER,298,Government travel ban
2026-03-01,British Airways,BR7123,Sydney,Abu Dhabi,Australia,UAE,Airbus A320neo,407,Crew safety — company policy
2026-03-01,flydubai,FL3468,Karachi,Dubai,Pakistan,UAE,Boeing 787-10 Dreamliner,405,Security risk — conflict zone
2026-03-01,DHL Aviation,DH4454,Dubai,Karachi,UAE,Pakistan,Boeing 787-9 Dreamliner,395,Airport closure — military activity
2026-03-01,Iran Air,IR5627,Cairo,Dubai,Egypt,UAE,Airbus A340-600,226,Airport closure — military activity
2026-03-01,Emirates,EM7809,Amman,Dubai,Jordan,UAE,Boeing 777-300ER,193,Insurance restriction — war zone
2026-03-01,Air India,AI4801,Muscat,London,Oman,UK,Boeing 777-200LR,96,Diplomatic advisory — do not fly
2026-03-01,Etihad Airways,ET2036,London,Riyadh,UK,Saudi Arabia,Boeing 737 MAX 8,342,Airport closure — military activity
2026-03-01,Emirates SkyCargo,EM6412,Istanbul,Tehran,Turkey,Iran,Airbus A320neo,333,Crew safety — company policy
2026-03-01,Gulf Air,GU2978,New York,Doha,USA,Qatar,Boeing 777-200LR,279,Insurance restriction — war zone
2026-03-01,Iran Air,IR3969,Sydney,Abu Dhabi,Australia,UAE,Boeing 787-9 Dreamliner,136,Airport closure — military activity
2026-03-01,KLM,KL4761,Tehran,Moscow,Iran,Russia,Airbus A330-300,342,Fuel supply disruption
2026-03-01,Malaysia Airlines,MA3324,Cairo,Riyadh,Egypt,Saudi Arabia,Boeing 787-9 Dreamliner,299,Airport closure — military activity
2026-03-01,DHL Aviation,DH2597,Dubai,Delhi,UAE,India,Boeing 777-200LR,409,Crew safety — company policy
2026-03-01,Emirates SkyCargo,EM4621,New York,Dubai,USA,UAE,Boeing 737-800,297,Government travel ban
2026-03-01,Air India,AI3636,Dubai,Karachi,UAE,Pakistan,Boeing 737-800,233,Fuel supply disruption
2026-03-02,EgyptAir,EG6439,London,Riyadh,UK,Saudi Arabia,Boeing 787-9 Dreamliner,101,Crew safety — company policy
2026-03-02,Ethiopian Airlines,ET7125,Moscow,Tehran,Russia,Iran,Boeing 777-300ER,354,Airspace closure — NOTAM
2026-03-02,KLM,KL7899,New York,Doha,USA,Qatar,Boeing 777-300ER,345,Fuel supply disruption
2026-03-02,Air Arabia,AI6239,Abu Dhabi,Sydney,UAE,Australia,Airbus A340-600,330,Airspace closure — NOTAM
2026-03-02,Saudi Arabian Airlines,SA6954,Istanbul,Tehran,Turkey,Iran,Airbus A350-900,139,Security risk — conflict zone
2026-03-02,Kuwait Airways,KU6459,Cairo,Riyadh,Egypt,Saudi Arabia,Boeing 777-300ER,150,Fuel supply disruption
2026-03-02,Etihad Airways,ET2201,Los Angeles,Doha,USA,Qatar,Airbus A340-600,243,Fuel supply disruption
2026-03-02,Gulf Air,GU8270,Dubai,Delhi,UAE,India,Boeing 777-300ER,114,Insurance restriction — war zone
2026-03-02,United Airlines,UN4827,Dubai,Delhi,UAE,India,Airbus A380-800,217,Fuel supply disruption
2026-03-02,Emirates SkyCargo,EM6045,Bahrain,London,Bahrain,UK,Boeing 777-200LR,101,Crew safety — company policy
2026-03-02,EgyptAir,EG8849,London,Kuwait City,UK,Kuwait,Boeing 787-10 Dreamliner,149,Diplomatic advisory — do not fly
2026-03-02,Turkish Airlines,TU2790,Riyadh,London,Saudi Arabia,UK,Airbus A320neo,262,Insurance restriction — war zone
2026-03-02,Delta Air Lines,DE7698,New York,Doha,USA,Qatar,Boeing 777-200LR,112,Fuel supply disruption
2026-03-02,Kuwait Airways,KU3483,Singapore,London,Singapore,UK,Airbus A350-900,85,Diplomatic advisory — do not fly
2026-03-02,Etihad Airways,ET2929,Dubai,Delhi,UAE,India,Boeing 777-200LR,409,Insurance restriction — war zone
2026-03-02,Emirates SkyCargo,EM2115,Doha,London,Qatar,UK,Airbus A320neo,365,Security risk — conflict zone
2026-03-02,Jazeera Airways,JA8109,Dubai,Cairo,UAE,Egypt,Boeing 787-9 Dreamliner,270,Airspace closure — NOTAM
2026-03-02,Singapore Airlines,SI3120,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A330-300,338,Insurance restriction — war zone
2026-03-02,Saudi Arabian Airlines,SA4149,Delhi,Dubai,India,UAE,Airbus A320neo,375,Government travel ban
2026-03-02,KLM,KL2718,Los Angeles,Doha,USA,Qatar,Boeing 737 MAX 8,443,Fuel supply disruption
2026-03-02,DHL Aviation,DH2863,Doha,Paris,Qatar,France,Airbus A380-800,234,Government travel ban
2026-03-02,Ethiopian Airlines,ET6791,Doha,Mumbai,Qatar,India,Boeing 737 MAX 8,445,Crew safety — company policy
2026-03-02,Pakistan International Airlines,PA7783,Dubai,New York,UAE,USA,Boeing 787-9 Dreamliner,340,Airspace closure — NOTAM
2026-03-02,Oman Air,OM4371,Singapore,London,Singapore,UK,Airbus A330-300,169,Diplomatic advisory — do not fly
2026-03-02,Qatar Airways,QA828,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A380-800,361,Crew safety — company policy
2026-03-02,Thai Airways,TH7554,Beijing,Tehran,China,Iran,Boeing 787-10 Dreamliner,121,Government travel ban
2026-03-02,Kuwait Airways,KU8741,New York,Doha,USA,Qatar,Boeing 737-800,155,Diplomatic advisory — do not fly
2026-03-02,Oman Air,OM1298,Moscow,Tehran,Russia,Iran,Boeing 777-200LR,214,Airport closure — military activity
2026-03-02,Qatar Airways,QA9641,Doha,Mumbai,Qatar,India,Boeing 737-800,373,Airspace closure — NOTAM
2026-03-02,Air France,AI9723,Dubai,Paris,UAE,France,Airbus A340-600,386,Diplomatic advisory — do not fly
2026-03-02,KLM,KL1637,Frankfurt,Dubai,Germany,UAE,Boeing 787-10 Dreamliner,367,Government travel ban
2026-03-02,Kuwait Airways,KU7369,Washington,Abu Dhabi,USA,UAE,Airbus A350-900,272,Airspace closure — NOTAM
2026-03-02,Malaysia Airlines,MA5785,Mumbai,Dubai,India,UAE,Boeing 787-10 Dreamliner,260,Airspace closure — NOTAM
2026-03-02,Pakistan International Airlines,PA3613,Karachi,Dubai,Pakistan,UAE,Airbus A321neo,230,Airport closure — military activity
2026-03-02,British Airways,BR1625,Mumbai,Kuwait City,India,Kuwait,Airbus A330-300,410,Government travel ban
2026-03-03,Air Arabia,AI9171,Dubai,Sydney,UAE,Australia,Boeing 777-300ER,314,Crew safety — company policy
2026-03-03,Mahan Air,MA665,Dubai,Cairo,UAE,Egypt,Boeing 737-800,233,Insurance restriction — war zone
2026-03-03,Oman Air,OM9955,Mumbai,Kuwait City,India,Kuwait,Airbus A320neo,410,Diplomatic advisory — do not fly
2026-03-03,KLM,KL8371,Abu Dhabi,Washington,UAE,USA,Airbus A320neo,284,Airport closure — military activity
2026-03-03,Oman Air,OM7814,Tehran,Moscow,Iran,Russia,Airbus A330-300,130,Insurance restriction — war zone
2026-03-03,Mahan Air,MA5695,Islamabad,Dubai,Pakistan,UAE,Boeing 737 MAX 8,356,Government travel ban
2026-03-03,Emirates,EM2030,Muscat,London,Oman,UK,Boeing 787-9 Dreamliner,219,Insurance restriction — war zone
2026-03-03,Air India,AI5242,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 737-800,301,Airspace closure — NOTAM
2026-03-03,Pakistan International Airlines,PA2450,Mumbai,Kuwait City,India,Kuwait,Boeing 737 MAX 8,143,Airport closure — military activity
2026-03-03,Pakistan International Airlines,PA6095,Mumbai,Kuwait City,India,Kuwait,Boeing 787-9 Dreamliner,293,Government travel ban
2026-03-03,Cathay Pacific,CA9828,Istanbul,Dubai,Turkey,UAE,Airbus A350-900,177,Government travel ban
2026-03-03,Saudi Arabian Airlines,SA7576,Kuwait City,London,Kuwait,UK,Airbus A320neo,96,Government travel ban
2026-03-03,Pakistan International Airlines,PA2196,Mumbai,Doha,India,Qatar,Airbus A330-300,166,Insurance restriction — war zone
2026-03-03,Emirates,EM1533,Doha,Los Angeles,Qatar,USA,Boeing 787-10 Dreamliner,297,Insurance restriction — war zone
2026-03-03,Oman Air,OM5760,Kuwait City,Cairo,Kuwait,Egypt,Boeing 777-200LR,111,Fuel supply disruption
2026-03-03,Singapore Airlines,SI6952,New York,Doha,USA,Qatar,Airbus A340-600,356,Diplomatic advisory — do not fly
2026-03-03,Gulf Air,GU6982,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 787-9 Dreamliner,199,Airport closure — military activity
2026-03-03,Pakistan International Airlines,PA9118,London,Muscat,UK,Oman,Airbus A330-300,325,Security risk — conflict zone
2026-03-03,Emirates,EM2864,Washington,Abu Dhabi,USA,UAE,Airbus A340-600,97,Airspace closure — NOTAM
2026-03-03,Ethiopian Airlines,ET2560,Doha,London,Qatar,UK,Boeing 787-9 Dreamliner,282,Government travel ban
2026-03-03,Oman Air,OM479,Tehran,Istanbul,Iran,Turkey,Boeing 787-10 Dreamliner,286,Fuel supply disruption
2026-03-03,Thai Airways,TH6755,Cairo,Riyadh,Egypt,Saudi Arabia,Boeing 787-10 Dreamliner,398,Diplomatic advisory — do not fly
2026-03-03,Singapore Airlines,SI607,Los Angeles,Doha,USA,Qatar,Airbus A340-600,174,Security risk — conflict zone
2026-03-04,DHL Aviation,DH9250,Kuwait City,Mumbai,Kuwait,India,Airbus A350-900,301,Diplomatic advisory — do not fly
2026-03-04,Lufthansa,LU2329,Dubai,Frankfurt,UAE,Germany,Boeing 777-200LR,108,Insurance restriction — war zone
2026-03-04,Cargolux,CA3217,Dubai,Mumbai,UAE,India,Airbus A350-900,331,Airspace closure — NOTAM
2026-03-04,Ethiopian Airlines,ET7248,Tehran,Beijing,Iran,China,Boeing 737-800,98,Diplomatic advisory — do not fly
2026-03-04,Air Arabia,AI8202,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A350-900,270,Insurance restriction — war zone
2026-03-04,Air France,AI638,Paris,Dubai,France,UAE,Airbus A350-900,98,Airport closure — military activity
2026-03-04,Saudi Arabian Airlines,SA6021,Islamabad,Dubai,Pakistan,UAE,Airbus A380-800,140,Security risk — conflict zone
2026-03-04,Delta Air Lines,DE2473,Dubai,Frankfurt,UAE,Germany,Boeing 787-10 Dreamliner,404,Airport closure — military activity
2026-03-04,Air India,AI3689,London,Muscat,UK,Oman,Airbus A320neo,157,Fuel supply disruption
2026-03-04,British Airways,BR7179,Washington,Abu Dhabi,USA,UAE,Airbus A340-600,282,Diplomatic advisory — do not fly
2026-03-04,Emirates SkyCargo,EM2540,London,Riyadh,UK,Saudi Arabia,Airbus A320neo,165,Security risk — conflict zone
2026-03-04,DHL Aviation,DH9017,London,Singapore,UK,Singapore,Airbus A340-600,190,Airport closure — military activity
2026-03-04,Saudi Arabian Airlines,SA2110,Paris,Doha,France,Qatar,Boeing 787-9 Dreamliner,99,Insurance restriction — war zone
2026-03-04,Qatar Airways,QA6602,Mumbai,Doha,India,Qatar,Boeing 737-800,155,Crew safety — company policy
2026-03-04,United Airlines,UN4522,Cairo,Dubai,Egypt,UAE,Boeing 787-9 Dreamliner,178,Airport closure — military activity
2026-03-04,Air Arabia,AI8043,Dubai,Amman,UAE,Jordan,Boeing 777-300ER,261,Diplomatic advisory — do not fly
2026-03-04,United Airlines,UN9205,Dubai,Karachi,UAE,Pakistan,Airbus A330-300,188,Airspace closure — NOTAM
2026-03-04,Thai Airways,TH6540,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,239,Airspace closure — NOTAM
2026-03-04,EgyptAir,EG565,Doha,Mumbai,Qatar,India,Boeing 787-9 Dreamliner,343,Airspace closure — NOTAM
2026-03-04,Jazeera Airways,JA889,Dubai,Paris,UAE,France,Airbus A330-300,408,Crew safety — company policy
2026-03-04,Kuwait Airways,KU4381,Istanbul,Karachi,Turkey,Pakistan,Boeing 737-800,345,Fuel supply disruption
2026-03-04,Ethiopian Airlines,ET9003,Dubai,Cairo,UAE,Egypt,Airbus A320neo,247,Airport closure — military activity
2026-03-04,Pakistan International Airlines,PA7226,Tehran,Moscow,Iran,Russia,Boeing 787-9 Dreamliner,346,Diplomatic advisory — do not fly
2026-03-04,Jazeera Airways,JA7745,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A321neo,224,Fuel supply disruption
2026-03-04,Singapore Airlines,SI860,Doha,Paris,Qatar,France,Boeing 737-800,321,Airspace closure — NOTAM
2026-03-04,Turkish Airlines,TU4453,Dubai,Delhi,UAE,India,Airbus A320neo,327,Fuel supply disruption
2026-03-04,Singapore Airlines,SI3930,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 737 MAX 8,396,Airspace closure — NOTAM
2026-03-04,KLM,KL6209,Dubai,Mumbai,UAE,India,Boeing 777-200LR,101,Airport closure — military activity
2026-03-04,IndiGo,IN6293,Mumbai,Doha,India,Qatar,Airbus A340-600,214,Government travel ban
2026-03-04,Mahan Air,MA8241,Doha,New York,Qatar,USA,Airbus A330-300,422,Fuel supply disruption
2026-03-04,Cargolux,CA5331,Doha,New York,Qatar,USA,Airbus A330-300,153,Crew safety — company policy
2026-03-04,Lufthansa,LU7861,Abu Dhabi,Sydney,UAE,Australia,Boeing 787-9 Dreamliner,407,Insurance restriction — war zone
2026-03-04,Saudi Arabian Airlines,SA4482,Delhi,Istanbul,India,Turkey,Boeing 787-10 Dreamliner,354,Insurance restriction — war zone
2026-03-04,DHL Aviation,DH2858,Singapore,Dubai,Singapore,UAE,Boeing 787-10 Dreamliner,113,Airport closure — military activity
2026-03-04,Emirates,EM814,Tehran,Istanbul,Iran,Turkey,Airbus A330-300,212,Security risk — conflict zone
2026-03-04,DHL Aviation,DH9240,Istanbul,Dubai,Turkey,UAE,Boeing 787-9 Dreamliner,137,Security risk — conflict zone
2026-03-04,Qatar Airways,QA1636,Amman,Dubai,Jordan,UAE,Boeing 737-800,335,Diplomatic advisory — do not fly
2026-03-04,IndiGo,IN7158,Sydney,Abu Dhabi,Australia,UAE,Boeing 737-800,296,Diplomatic advisory — do not fly
2026-03-04,IndiGo,IN6889,Paris,Doha,France,Qatar,Boeing 787-9 Dreamliner,325,Government travel ban
2026-03-04,British Airways,BR6708,Tehran,Istanbul,Iran,Turkey,Airbus A350-900,434,Government travel ban
2026-03-05,Etihad Airways,ET8205,London,Kuwait City,UK,Kuwait,Boeing 777-300ER,289,Crew safety — company policy
2026-03-05,Qatar Airways,QA224,Dubai,Karachi,UAE,Pakistan,Boeing 737 MAX 8,337,Diplomatic advisory — do not fly
2026-03-05,Kuwait Airways,KU1436,Paris,Doha,France,Qatar,Boeing 737-800,193,Airspace closure — NOTAM
2026-03-05,Mahan Air,MA1749,London,Riyadh,UK,Saudi Arabia,Airbus A320neo,267,Fuel supply disruption
2026-03-05,Qatar Airways,QA2566,Frankfurt,Dubai,Germany,UAE,Boeing 777-200LR,404,Airspace closure — NOTAM
2026-03-05,Cargolux,CA838,Delhi,Istanbul,India,Turkey,Boeing 737 MAX 8,292,Security risk — conflict zone
2026-03-05,Delta Air Lines,DE5111,Mumbai,Kuwait City,India,Kuwait,Airbus A340-600,322,Diplomatic advisory — do not fly
2026-03-05,Etihad Airways,ET1498,Doha,Paris,Qatar,France,Airbus A321neo,330,Government travel ban
2026-03-05,British Airways,BR9956,Dubai,Sydney,UAE,Australia,Airbus A380-800,279,Fuel supply disruption
2026-03-05,Oman Air,OM6237,Paris,Doha,France,Qatar,Airbus A330-300,135,Fuel supply disruption
2026-03-05,DHL Aviation,DH7734,London,Dubai,UK,UAE,Boeing 777-300ER,388,Airspace closure — NOTAM
2026-03-05,Oman Air,OM220,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A380-800,254,Airport closure — military activity
2026-03-05,Jazeera Airways,JA323,Dubai,Frankfurt,UAE,Germany,Boeing 737-800,194,Airspace closure — NOTAM
2026-03-05,Cathay Pacific,CA2242,Doha,New York,Qatar,USA,Airbus A380-800,169,Crew safety — company policy
2026-03-05,Etihad Airways,ET456,Paris,Beirut,France,Lebanon,Airbus A330-300,267,Airport closure — military activity
2026-03-05,Air France,AI3016,Dubai,Amman,UAE,Jordan,Boeing 777-200LR,382,Government travel ban
2026-03-05,Ethiopian Airlines,ET9172,London,Kuwait City,UK,Kuwait,Boeing 777-200LR,326,Insurance restriction — war zone
2026-03-05,Turkish Airlines,TU321,Lahore,Doha,Pakistan,Qatar,Boeing 787-10 Dreamliner,225,Insurance restriction — war zone
2026-03-05,Emirates,EM9056,Mumbai,Kuwait City,India,Kuwait,Boeing 737-800,250,Crew safety — company policy
2026-03-05,EgyptAir,EG2605,New York,Dubai,USA,UAE,Boeing 787-9 Dreamliner,87,Crew safety — company policy
2026-03-05,Malaysia Airlines,MA7206,Cairo,Kuwait City,Egypt,Kuwait,Airbus A330-300,201,Fuel supply disruption
2026-03-05,Air India,AI2636,Istanbul,Karachi,Turkey,Pakistan,Boeing 777-300ER,183,Airport closure — military activity
2026-03-05,Jazeera Airways,JA1963,Dubai,Frankfurt,UAE,Germany,Airbus A321neo,323,Diplomatic advisory — do not fly
2026-03-05,Gulf Air,GU9150,Kuwait City,Cairo,Kuwait,Egypt,Boeing 787-9 Dreamliner,142,Airport closure — military activity
2026-03-05,British Airways,BR6548,Sydney,Abu Dhabi,Australia,UAE,Airbus A330-300,160,Diplomatic advisory — do not fly
2026-03-05,Kuwait Airways,KU3830,Amman,Dubai,Jordan,UAE,Airbus A380-800,242,Insurance restriction — war zone
2026-03-05,EgyptAir,EG1684,Tehran,Beijing,Iran,China,Boeing 787-9 Dreamliner,254,Insurance restriction — war zone
2026-03-05,Iran Air,IR871,Doha,Mumbai,Qatar,India,Airbus A350-900,238,Fuel supply disruption
2026-03-05,Ethiopian Airlines,ET6897,London,Doha,UK,Qatar,Boeing 737 MAX 8,155,Government travel ban
2026-03-05,IndiGo,IN5946,London,Kuwait City,UK,Kuwait,Airbus A320neo,430,Airspace closure — NOTAM
2026-03-05,United Airlines,UN2708,Dubai,Paris,UAE,France,Airbus A350-900,331,Insurance restriction — war zone
